,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
41,8180781,1344479.0,0.00824358149425,0.89980563654,"(39.90359389038634, 116.42051582649474)",44.7788370586,883,12.4062196307,4.67871720117
42,9160391,239348.0,0.00831494995052,0.901846452867,"(39.90808625336927, 116.30328253223917)",45.1665079365,737,12.5474246842,4.75034013605
43,7970274,831675.0,0.00856293765409,0.903206997085,"(39.951662174303685, 116.44572098475967)",46.5135681892,628,12.9523809524,4.81137026239
44,9106464,248039.0,0.00863689758075,0.905053449951,"(39.886073674752922, 116.30973036342321)",46.9153158406,800,13.1016520894,4.88911564626
45,7984926,302937.0,0.00872722691728,0.906802721088,"(39.932794249775384, 116.44396248534585)",47.4059815355,1084,13.2782312925,4.9944606414
46,7896672,335178.0,0.00882716983068,0.908454810496,"(39.892362982929022, 116.45451348182884)",47.9488678328,1156,13.4743440233,5.10680272109
47,9033172,284184.0,0.00891190742355,0.910106899903,"(39.966037735849056, 116.31852286049238)",48.409159378,843,13.6198250729,5.18872691934
48,7475707,1688503.0,0.00941538291751,0.910301263362,"(40.010512129380054, 116.50492379835875)",51.1440200842,210,15.3178814383,5.2091350826
49,6976246,1301935.0,0.00980359209879,0.910884353741,"(40.071159029649593, 116.56471277842908)",53.2527583414,455,15.8909620991,5.25335276968
50,6976248,1377715.0,0.0102143972559,0.911370262391,"(40.072057502246182, 116.56471277842908)",55.4842371234,335,16.6008746356,5.28590864917
51,8768558,238474.0,0.010285505104,0.912925170068,"(39.911230907457323, 116.35017584994139)",55.8704923874,779,16.7280855199,5.36161321672
52,7754665,277221.0,0.0103681664792,0.914382896016,"(39.90808625336927, 116.47151230949591)",56.3195059929,889,16.8634596696,5.44800777454
53,6961552,1419218.0,0.0107913469435,0.914674441205,"(40.071159029649593, 116.56647127784291)",58.6182069971,762,17.4511175899,5.52206025267
54,6961554,1240476.0,0.011161230365,0.915063168124,"(40.072057502246182, 116.56647127784291)",60.6274003887,333,17.9531584062,5.55442176871
55,6961553,1212770.0,0.0115228524497,0.915451895044,"(40.071608265947887, 116.56647127784291)",62.5917184969,402,18.4751214772,5.5934888241
56,7607864,1002709.0,0.0118218388353,0.916034985423,"(39.970530098831986, 116.48909730363424)",64.2158017493,377,18.9658892128,5.63012633625
57,6976247,1264719.0,0.0121989510011,0.916326530612,"(40.071608265947887, 116.56471277842908)",66.2642614189,394,19.4901846453,5.6684159378
58,7549078,1234263.0,0.0125669818388,0.916715257532,"(39.966037735849056, 116.49613130128957)",68.2633916424,99,19.9360544218,5.67803692906
59,9106684,219815.0,0.0126325259721,0.917978620019,"(39.984905660377358, 116.30973036342321)",68.6194250081,692,20.0467444121,5.7452866861
