,Region,dVCR,VCR,dUCR,UCR,loc
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)"
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)"
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)"
3,8175883,1866816.0,0.00145812625015,1196,0.465208940719,"(39.90359389038634, 116.421101992966)"
4,6795037,628157.0,0.00164542923738,1509,0.522254616132,"(40.078796046720576, 116.58640093786636)"
5,7754664,495767.0,0.00179325635715,1371,0.567638483965,"(39.907637017070975, 116.47151230949591)"
6,9067300,655906.0,0.00198883350291,1547,0.60612244898,"(39.895058400718774, 116.31441969519344)"
7,8249328,411983.0,0.0021116780252,1328,0.639650145773,"(39.892362982929022, 116.41230949589684)"
8,8180782,700599.0,0.00232058166801,1728,0.663168124393,"(39.904043126684634, 116.42051582649474)"
9,9062405,480707.0,0.00246391821776,1349,0.686103012634,"(39.896406109613658, 116.31500586166472)"
10,6795035,605200.0,0.00264437591843,1363,0.706316812439,"(40.077897574123988, 116.58640093786636)"
11,7989586,1609159.0,0.00312419272798,656,0.720602526725,"(39.82587601078167, 116.44337631887457)"
12,7891864,377597.0,0.00323678408025,1265,0.738775510204,"(39.932794249775384, 116.45509964830012)"
13,8621568,356879.0,0.00334319776788,1141,0.755685131195,"(39.888769092542674, 116.36776084407973)"
14,8802907,412802.0,0.00346628649847,1162,0.770262390671,"(39.939532794249772, 116.34607268464245)"
15,6790136,893666.0,0.00373275859285,1011,0.779591836735,"(40.077448337825693, 116.58698710433764)"
16,8180784,571463.0,0.00390315664142,1480,0.789310009718,"(39.904941599281223, 116.42051582649474)"
17,9072199,466792.0,0.00404234403568,1288,0.8,"(39.895507637017069, 116.31383352872216)"
18,6829325,520148.0,0.00419744104838,1283,0.808843537415,"(40.079694519317158, 116.58229777256741)"
19,8528505,332153.0,0.00429648197146,1196,0.817978620019,"(39.888319856244387, 116.37889800703401)"
20,8078004,386001.0,0.00441157921686,1298,0.825947521866,"(39.939982030548066, 116.43282532239157)"
21,8778399,358961.0,0.00451861371237,1175,0.832847424684,"(39.931446540880501, 116.34900351699883)"
22,7989585,1316623.0,0.00491120254122,626,0.836637512148,"(39.825426774483375, 116.44337631887457)"
23,9150595,454876.0,0.00504683683905,932,0.842371234208,"(39.90808625336927, 116.30445486518171)"
24,7754662,413443.0,0.00517011670213,1302,0.848007774538,"(39.906738544474393, 116.47151230949591)"
25,8621591,339429.0,0.00527132717285,1082,0.853935860058,"(39.89910152740341, 116.36776084407973)"
26,8641292,364893.0,0.00538013046394,1121,0.858017492711,"(39.948068283917337, 116.36541617819461)"
27,8254244,370546.0,0.00549061935877,1255,0.862001943635,"(39.900449236298293, 116.41172332942556)"
28,8538178,1054227.0,0.00580496731051,521,0.863848396501,"(39.833063791554359, 116.37772567409145)"
29,8185723,315583.0,0.00589906741387,1215,0.868221574344,"(39.92336028751123, 116.41992966002346)"
30,8068170,337316.0,0.00599964783316,1203,0.871914480078,"(39.922911051212935, 116.43399765533412)"
31,6961552,1419218.0,0.0064228282975,762,0.873469387755,"(40.071159029649593, 116.56647127784291)"
32,8538301,367649.0,0.00653245336887,1245,0.875898931001,"(39.888319856244387, 116.37772567409145)"
33,9072198,494592.0,0.00667993012876,1092,0.878717201166,"(39.895058400718774, 116.31383352872216)"
34,8205459,296348.0,0.00676829476636,970,0.882021379981,"(39.988050314465404, 116.41758499413834)"
35,9062406,321077.0,0.00686403306305,964,0.885131195335,"(39.896855345911945, 116.31500586166472)"
36,7970274,831675.0,0.00711202076661,628,0.886297376093,"(39.951662174303685, 116.44572098475967)"
37,8533403,340265.0,0.00721348051466,1224,0.88843537415,"(39.888319856244387, 116.37831184056273)"
38,8063272,326834.0,0.00731093542566,1185,0.890864917396,"(39.922911051212935, 116.4345838218054)"
39,9062559,251127.0,0.0073858161279,936,0.893780369291,"(39.965588499550762, 116.31500586166472)"
40,8195475,564386.0,0.00755410396637,1308,0.895140913508,"(39.90359389038634, 116.4187573270809)"
41,6844012,474378.0,0.00769555334365,1223,0.896695821186,"(40.076549865229111, 116.58053927315358)"
42,9160391,239348.0,0.00776692179992,737,0.898736637512,"(39.90808625336927, 116.30328253223917)"
43,7984926,302937.0,0.00785725113645,1084,0.900388726919,"(39.932794249775384, 116.44396248534585)"
44,9033172,284184.0,0.00794198872932,843,0.902332361516,"(39.966037735849056, 116.31852286049238)"
45,8778409,284613.0,0.00802685424082,773,0.904275996113,"(39.93593890386343, 116.34900351699883)"
46,7896672,335178.0,0.00812679715422,1156,0.90592808552,"(39.892362982929022, 116.45451348182884)"
47,6976246,1301935.0,0.00851500633551,455,0.906608357629,"(40.071159029649593, 116.56471277842908)"
48,9126078,1047464.0,0.00882733770525,741,0.907482993197,"(39.895956873315363, 116.30738569753811)"
49,8249327,356799.0,0.00893372753859,1268,0.908649173955,"(39.891913746630728, 116.41230949589684)"
50,8190677,282300.0,0.00901790336294,1044,0.909912536443,"(39.948517520215631, 116.41934349355218)"
