,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,1262,14.0,4.17450058043e-09,1.0,"(39.966936208445638, 117.39941383352873)",2.26757369615e-05,1,9.71817298348e-05,9.71817298348e-05
1,1262,14.0,8.34900116085e-09,1.0,"(39.966936208445638, 117.39941383352873)",4.53514739229e-05,1,0.00019436345967,0.00019436345967
2,1262,14.0,1.25235017413e-08,1.0,"(39.966936208445638, 117.39941383352873)",6.80272108844e-05,1,0.000291545189504,0.000291545189504
3,1262,14.0,1.66980023217e-08,1.0,"(39.966936208445638, 117.39941383352873)",9.07029478458e-05,1,0.000388726919339,0.000388726919339
4,1262,14.0,2.08725029021e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000113378684807,1,0.000485908649174,0.000485908649174
5,1262,14.0,2.50470034826e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000136054421769,1,0.000583090379009,0.000583090379009
6,1262,14.0,2.9221504063e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.00015873015873,1,0.000680272108844,0.000680272108844
7,1262,14.0,3.33960046434e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000181405895692,1,0.000777453838678,0.000777453838678
8,1262,14.0,3.75705052238e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000204081632653,1,0.000874635568513,0.000874635568513
9,1262,14.0,4.17450058043e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000226757369615,1,0.000971817298348,0.000971817298348
10,1262,14.0,4.59195063847e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000249433106576,1,0.00106899902818,0.00106899902818
11,1262,14.0,5.00940069651e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000272108843537,1,0.00116618075802,0.00116618075802
12,1262,14.0,5.42685075455e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000294784580499,1,0.00126336248785,0.00126336248785
13,1262,14.0,5.8443008126e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.00031746031746,1,0.00136054421769,0.00136054421769
14,1262,14.0,6.26175087064e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000340136054422,1,0.00145772594752,0.00145772594752
15,1262,14.0,6.67920092868e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000362811791383,1,0.00155490767736,0.00155490767736
16,1262,14.0,7.09665098672e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000385487528345,1,0.00165208940719,0.00165208940719
17,1262,14.0,7.51410104477e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000408163265306,1,0.00174927113703,0.00174927113703
18,1262,14.0,7.93155110281e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000430839002268,1,0.00184645286686,0.00184645286686
19,1262,14.0,8.34900116085e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000453514739229,1,0.0019436345967,0.0019436345967
20,1262,14.0,8.76645121889e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.00047619047619,1,0.00204081632653,0.00204081632653
21,1262,14.0,9.18390127694e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000498866213152,1,0.00213799805637,0.00213799805637
22,1262,14.0,9.60135133498e-08,1.0,"(39.966936208445638, 117.39941383352873)",0.000521541950113,1,0.0022351797862,0.0022351797862
23,1262,14.0,1.0018801393e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000544217687075,1,0.00233236151603,0.00233236151603
24,1262,14.0,1.04362514511e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000566893424036,1,0.00242954324587,0.00242954324587
25,1262,14.0,1.08537015091e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000589569160998,1,0.0025267249757,0.0025267249757
26,1262,14.0,1.12711515671e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000612244897959,1,0.00262390670554,0.00262390670554
27,1262,14.0,1.16886016252e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000634920634921,1,0.00272108843537,0.00272108843537
28,1262,14.0,1.21060516832e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000657596371882,1,0.00281827016521,0.00281827016521
29,1262,14.0,1.25235017413e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000680272108844,1,0.00291545189504,0.00291545189504
30,1262,14.0,1.29409517993e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000702947845805,1,0.00301263362488,0.00301263362488
31,1262,14.0,1.33584018574e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000725623582766,1,0.00310981535471,0.00310981535471
32,1262,14.0,1.37758519154e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000748299319728,1,0.00320699708455,0.00320699708455
33,1262,14.0,1.41933019734e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000770975056689,1,0.00330417881438,0.00330417881438
34,1262,14.0,1.46107520315e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000793650793651,1,0.00340136054422,0.00340136054422
35,1262,14.0,1.50282020895e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000816326530612,1,0.00349854227405,0.00349854227405
36,1262,14.0,1.54456521476e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000839002267574,1,0.00359572400389,0.00359572400389
37,1262,14.0,1.58631022056e-07,1.0,"(39.966936208445638, 117.39941383352873)",0.000861678004535,1,0.00369290573372,0.00369290573372
