,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)",1.46275348235,1914,0.356754130224,0.186005830904
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)",2.8040298024,1844,0.718075801749,0.365208940719
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)",4.89681567865,1674,1.32351797862,0.527891156463
3,8175883,1866816.0,0.00145812625015,1196,0.465208940719,"(39.90359389038634, 116.421101992966)",7.92048914804,1196,2.2361516035,0.644120505345
4,6795037,628157.0,0.00164542923738,1509,0.522254616132,"(40.078796046720576, 116.58640093786636)",8.9379122125,1509,2.46355685131,0.790767735666
5,7754664,495767.0,0.00179325635715,1371,0.567638483965,"(39.907637017070975, 116.47151230949591)",9.74090379009,1371,2.73508260447,0.924003887269
6,9067300,655906.0,0.00198883350291,1547,0.60612244898,"(39.895058400718774, 116.31441969519344)",10.8032717849,1547,2.9869776482,1.07434402332
7,8249328,411983.0,0.0021116780252,1328,0.639650145773,"(39.892362982929022, 116.41230949589684)",11.4705587949,1328,3.22439261419,1.20340136054
8,8180782,700599.0,0.00232058166801,1728,0.663168124393,"(39.904043126684634, 116.42051582649474)",12.6053158406,1728,3.58979591837,1.3713313897
9,9062405,480707.0,0.00246391821776,1349,0.686103012634,"(39.896406109613658, 116.31500586166472)",13.383914804,1349,3.83119533528,1.50242954325
10,6795035,605200.0,0.00264437591843,1363,0.706316812439,"(40.077897574123988, 116.58640093786636)",14.364154519,1363,4.06569484937,1.63488824101
11,7989586,1609159.0,0.00312419272798,656,0.720602526725,"(39.82587601078167, 116.44337631887457)",16.9705021056,656,4.60301263362,1.69863945578
12,7891864,377597.0,0.00323678408025,1265,0.738775510204,"(39.932794249775384, 116.45509964830012)",17.5820942663,1265,4.80826044704,1.82157434402
13,8621568,356879.0,0.00334319776788,1141,0.755685131195,"(39.888769092542674, 116.36776084407973)",18.1601295756,1141,4.9934888241,1.93245869776
14,8802907,412802.0,0.00346628649847,1162,0.770262390671,"(39.939532794249772, 116.34607268464245)",18.8287431163,1162,5.21409135083,2.04538386783
15,6790136,893666.0,0.00373275859285,1011,0.779591836735,"(40.077448337825693, 116.58698710433764)",20.2762099125,1011,5.58571428571,2.1436345967
16,8180784,571463.0,0.00390315664142,1480,0.789310009718,"(39.904941599281223, 116.42051582649474)",21.2018059605,1480,5.84033041788,2.28746355685
17,9072199,466792.0,0.00404234403568,1288,0.8,"(39.895507637017069, 116.31383352872216)",21.957866861,1288,6.09484936832,2.41263362488
18,6829325,520148.0,0.00419744104838,1283,0.808843537415,"(40.079694519317158, 116.58229777256741)",22.8003482345,1283,6.34752186589,2.53731778426
19,8528505,332153.0,0.00429648197146,1196,0.817978620019,"(39.888319856244387, 116.37889800703401)",23.338334953,1196,6.56588921283,2.65354713314
20,8078004,386001.0,0.00441157921686,1298,0.825947521866,"(39.939982030548066, 116.43282532239157)",23.9635390347,1298,6.78211856171,2.77968901846
21,8778399,358961.0,0.00451861371237,1175,0.832847424684,"(39.931446540880501, 116.34900351699883)",24.54494655,1175,6.98211856171,2.89387755102
22,7989585,1316623.0,0.00491120254122,626,0.836637512148,"(39.825426774483375, 116.44337631887457)",26.6774748947,626,7.43100097182,2.9547133139
23,9150595,454876.0,0.00504683683905,932,0.842371234208,"(39.90808625336927, 116.30445486518171)",27.4142355037,932,7.69368318756,3.0452866861
