,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
24,8068170,337316.0,0.0043251023481,1203,0.846064139942,"(39.922911051212935, 116.43399765533412)",23.4937998056,1203,7.12487852284,3.32721088435
25,6790136,893666.0,0.00459157444248,1011,0.850728862974,"(40.077448337825693, 116.58698710433764)",24.9412666019,1011,7.49650145773,3.42546161322
26,8621591,339429.0,0.0046927849132,1082,0.856462585034,"(39.89910152740341, 116.36776084407973)",25.4910382248,1082,7.68318756074,3.5306122449
27,9150595,454876.0,0.00482841921103,932,0.861224489796,"(39.90808625336927, 116.30445486518171)",26.2277988338,932,7.94586977648,3.6211856171
28,8185723,315583.0,0.00492251931438,1215,0.865306122449,"(39.92336028751123, 116.41992966002346)",26.7389471979,1215,8.14907677357,3.73926141885
29,8533403,340265.0,0.00502397906242,1224,0.868221574344,"(39.888319856244387, 116.37831184056273)",27.2900728863,1224,8.36793002915,3.85821185617
30,8205459,296348.0,0.00511234370002,970,0.871914480078,"(39.988050314465404, 116.41758499413834)",27.7700664075,970,8.51593780369,3.95247813411
31,8195475,564386.0,0.0052806315385,1308,0.873858114674,"(39.90359389038634, 116.4187573270809)",28.6841998704,1308,8.76705539359,4.07959183673
32,9072198,494592.0,0.00542810829839,1092,0.876870748299,"(39.895058400718774, 116.31383352872216)",29.4852883058,1092,8.95655976676,4.18571428571
33,6848910,461894.0,0.00556583521377,1210,0.879300291545,"(40.076549865229111, 116.5799531066823)",30.2334159378,1210,9.24489795918,4.30330417881
34,7984926,302937.0,0.0056561645503,1084,0.88221574344,"(39.932794249775384, 116.44396248534585)",30.7240816327,1084,9.42147716229,4.40864917396
35,7989586,1609159.0,0.00613598135985,656,0.885519922255,"(39.82587601078167, 116.44337631887457)",33.3304292193,656,9.95879494655,4.47240038873
36,9062406,321077.0,0.00623171965654,964,0.888532555879,"(39.896855345911945, 116.31500586166472)",33.8504761905,964,10.1021379981,4.56608357629
37,7891773,322961.0,0.00632801972175,1072,0.891059280855,"(39.891913746630728, 116.45509964830012)",34.373574668,1072,10.2643343052,4.67026239067
38,9062559,251127.0,0.00640290042399,936,0.893586005831,"(39.965588499550762, 116.31500586166472)",34.7803239391,936,10.4062196307,4.7612244898
39,8249327,356799.0,0.00650929025733,1268,0.895043731778,"(39.891913746630728, 116.41230949589684)",35.3582296728,1268,10.6222546161,4.88445092323
40,6844012,474378.0,0.0066507396346,1223,0.896307094266,"(40.076549865229111, 116.58053927315358)",36.1265775834,1223,10.8924198251,5.00330417881
41,8332683,314289.0,0.00674445389482,1137,0.897862001944,"(39.932345013477089, 116.40234466588512)",36.6356300615,1137,11.0810495627,5.11379980564
42,8063272,326834.0,0.00684190880582,1185,0.899125364431,"(39.922911051212935, 116.4345838218054)",37.1650016197,1185,11.2709426628,5.22896015549
43,9028212,250407.0,0.00691657481945,932,0.900874635569,"(39.938185085354895, 116.31910902696366)",37.5705847101,932,11.4067055394,5.3195335277
