,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
21,8180784,571463.0,0.00644446890901,0.804373177843,"(39.904941599281223, 116.42051582649474)",2100.16324944,1480,2.48897094549
22,9072199,466792.0,0.00658365630327,0.813411078717,"(39.895507637017069, 116.31383352872216)",2145.52249538,1288,2.61412885045
23,6976248,1377715.0,0.00699446146036,0.814965986395,"(40.072057502246182, 116.56471277842908)",2279.39821203,335,2.64668156642
24,6976246,1301935.0,0.00738267064164,0.816909620991,"(40.071159029649593, 116.56471277842908)",2405.91021281,455,2.69089495676
25,8538178,1054227.0,0.00769701859338,0.820699708455,"(39.833063791554359, 116.37772567409145)",2508.35186085,521,2.74152171801
26,8180781,1344479.0,0.00809791348586,0.821963070943,"(39.90359389038634, 116.42051582649474)",2638.99795938,883,2.82732484695
27,6976247,1264719.0,0.00847502565164,0.82351797862,"(40.071608265947887, 116.56471277842908)",2761.89359635,394,2.86561072782
28,6961554,1240476.0,0.00884490907313,0.825267249757,"(40.072057502246182, 116.56647127784291)",2882.43348557,333,2.89796909921
29,6961553,1212770.0,0.00920653115778,0.827016520894,"(40.071608265947887, 116.56647127784291)",3000.28111942,402,2.93703235837
30,6971349,1227736.0,0.00957261578366,0.828279883382,"(40.071608265947887, 116.56529894490036)",3119.58303372,369,2.97288893208
31,8185723,315583.0,0.00966671588701,0.836637512148,"(39.92336028751123, 116.41992966002346)",3150.2489554,1215,3.09095326013
32,7549078,1234263.0,0.0100347467247,0.837609329446,"(39.966037735849056, 116.49613130128957)",3270.18511321,99,3.10057331649
33,7480604,1259810.0,0.0104103951317,0.837998056365,"(40.010062893081759, 116.50433763188747)",3392.60373142,130,3.11320571373
34,6971350,1172311.0,0.0107599532075,0.838775510204,"(40.072057502246182, 116.56529894490036)",3506.51987173,323,3.14459236226
35,6981144,1049970.0,0.0110730318129,0.840524781341,"(40.071159029649593, 116.5641266119578)",3608.54785735,757,3.21815178311
36,7607864,1002709.0,0.0113720181985,0.842565597668,"(39.970530098831986, 116.48909730363424)",3705.98338354,377,3.25478573511
37,7480605,1229945.0,0.011738761501,0.842662779397,"(40.010512129380054, 116.50433763188747)",3825.49995141,119,3.2663492372
38,7505087,1162431.0,0.0120853735721,0.843148688047,"(40.006918238993713, 116.50140679953107)",3938.45602954,167,3.28257700904
39,6966451,1127415.0,0.0124215446207,0.843828960155,"(40.071608265947887, 116.56588511137164)",4048.00952288,334,3.31503255272
40,7465912,1152448.0,0.0127651799746,0.844023323615,"(40.010961365678348, 116.50609613130129)",4159.99553007,203,3.33475852687
41,9150595,454876.0,0.0129008142724,0.849757045675,"(39.90808625336927, 116.30445486518171)",4204.19687105,932,3.42532309785
42,6966452,1051890.0,0.0132144653807,0.850437317784,"(40.072057502246182, 116.56588511137164)",4306.41142746,301,3.45457195608
43,6966450,1078766.0,0.0135361303376,0.850728862974,"(40.071159029649593, 116.56588511137164)",4411.23758624,339,3.48751336119
44,7470809,1074952.0,0.0138566580413,0.850923226433,"(40.010512129380054, 116.50550996483001)",4515.69312992,327,3.51928869886
45,7970274,831675.0,0.0141046457449,0.85306122449,"(39.951662174303685, 116.44572098475967)",4596.50889126,628,3.58031289476
46,9077096,884073.0,0.0143682574117,0.854713313897,"(39.895058400718774, 116.31324736225089)",4682.41628608,519,3.63074531144
47,6981145,894929.0,0.0146351061057,0.855976676385,"(40.071608265947887, 116.5641266119578)",4769.37858323,547,3.68389855213
48,8621591,339429.0,0.0147363165764,0.861710398445,"(39.89910152740341, 116.36776084407973)",4802.36167525,1082,3.78903896609
49,6981146,988660.0,0.0150311138506,0.862099125364,"(40.072057502246182, 116.5641266119578)",4898.43202799,400,3.82790788067
50,6790136,893666.0,0.015297585945,0.862876579203,"(40.077448337825693, 116.58698710433764)",4985.27159654,1011,3.92614906229
51,7539251,947888.0,0.0155802258805,0.863070942663,"(39.952111410601972, 116.49730363423213)",5077.38004081,83,3.93421436206
52,7754662,413443.0,0.0157035057436,0.867541302235,"(39.906738544474393, 116.47151230949591)",5117.55524244,1302,4.06073267904
53,8778399,358961.0,0.0158105402391,0.872303206997,"(39.931446540880501, 116.34900351699883)",5152.43630357,1175,4.17491011564
54,8533280,911999.0,0.0160824788421,0.872400388727,"(39.833063791554359, 116.37831184056273)",5241.05733165,73,4.18200369255
55,7798901,846400.0,0.0163348572259,0.872886297376,"(39.977268643306381, 116.4662368112544)",5323.30395491,75,4.18929161403
56,9126077,857858.0,0.0165906521402,0.873177842566,"(39.895507637017069, 116.30738569753811)",5406.66397823,401,4.2282577009
