,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
0,6795038,903104.0,0.000269286304196,0.186005830904,"(40.079245283018864, 116.58640093786636)",87.7566805947,1914,0.185987756292
1,8180783,828104.0,0.000516209211912,0.321185617104,"(39.904492362982928, 116.42051582649474)",168.225439705,1844,0.365173452531
2,9077097,1292086.0,0.000901481631969,0.417103984451,"(39.895507637017069, 116.31324736225089)",293.780390633,1674,0.527839860072
3,6795037,628157.0,0.0010887846192,0.479689018465,"(40.078796046720576, 116.58640093786636)",354.819842581,1509,0.674472840346
4,8249328,411983.0,0.0012116291415,0.534402332362,"(39.892362982929022, 116.41230949589684)",394.853172675,1328,0.80351763677
5,7754664,495767.0,0.00135945626127,0.576967930029,"(39.907637017070975, 116.47151230949591)",443.027985619,1371,0.936740841512
6,9067300,655906.0,0.00155503340702,0.613605442177,"(39.895058400718774, 116.31441969519344)",506.763871344,1547,1.08706636867
7,7891864,377597.0,0.0016676247593,0.643148688047,"(39.932794249775384, 116.45509964830012)",543.455835196,1265,1.20998931105
8,9062405,480707.0,0.00181096130905,0.669193391642,"(39.896406109613658, 116.31500586166472)",590.167233505,1349,1.34107472549
9,8175883,1866816.0,0.00236760592723,0.690087463557,"(39.90359389038634, 116.421101992966)",771.570012632,1196,1.4572927801
10,8621591,339429.0,0.00246881639795,0.710787172012,"(39.89910152740341, 116.36776084407973)",804.553104655,1082,1.56243319405
11,6795035,605200.0,0.00264927409861,0.728279883382,"(40.077897574123988, 116.58640093786636)",863.361772423,1363,1.6948790205
12,8802907,412802.0,0.0027723628292,0.744800777454,"(39.939532794249772, 116.34607268464245)",903.474686619,1162,1.80779321737
13,8180782,700599.0,0.002981266472,0.758406219631,"(39.904043126684634, 116.42051582649474)",971.553493344,1728,1.97570692838
14,7989586,1609159.0,0.00346108328155,0.769679300292,"(39.82587601078167, 116.44337631887457)",1127.91915266,656,2.0394519483
15,8078004,386001.0,0.00357618052695,0.781341107872,"(39.939982030548066, 116.43282532239157)",1165.42775241,1299,2.16567874842
16,8528505,332153.0,0.00367522145003,0.792225461613,"(39.888319856244387, 116.37889800703401)",1197.70381887,1196,2.28189680303
17,9072199,466792.0,0.00381440884429,0.802137998056,"(39.895507637017069, 116.31383352872216)",1243.06306481,1288,2.407054708
18,6829325,520148.0,0.00396950585699,0.811370262391,"(40.079694519317158, 116.58229777256741)",1293.60703527,1283,2.53172675153
19,8621568,356879.0,0.00407591954462,0.820116618076,"(39.888769092542674, 116.36776084407973)",1328.28578369,1141,2.64260033039
20,8180784,571463.0,0.00424631759319,0.827891156463,"(39.904941599281223, 116.42051582649474)",1383.81615003,1480,2.78641531435
