,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
0,6795038,903104.0,0.000269286304196,0.186005830904,"(40.079245283018864, 116.58640093786636)",1.46275348235,1914,0.356754130224,0.186005830904
1,8180783,828104.0,0.000516209211912,0.321185617104,"(39.904492362982928, 116.42051582649474)",2.8040298024,1844,0.718075801749,0.365208940719
2,9077097,1292086.0,0.000901481631969,0.417103984451,"(39.895507637017069, 116.31324736225089)",4.89681567865,1674,1.32351797862,0.527891156463
3,6795037,628157.0,0.0010887846192,0.479689018465,"(40.078796046720576, 116.58640093786636)",5.91423874312,1509,1.55092322643,0.674538386783
4,8249328,411983.0,0.0012116291415,0.534402332362,"(39.892362982929022, 116.41230949589684)",6.58152575316,1328,1.78833819242,0.803595724004
5,7754664,495767.0,0.00135945626127,0.576967930029,"(39.907637017070975, 116.47151230949591)",7.38451733074,1371,2.05986394558,0.936831875607
6,9067300,655906.0,0.00155503340702,0.613605442177,"(39.895058400718774, 116.31441969519344)",8.44688532556,1547,2.31175898931,1.08717201166
7,7891864,377597.0,0.0016676247593,0.643148688047,"(39.932794249775384, 116.45509964830012)",9.05847748623,1265,2.51700680272,1.2101068999
8,8621568,356879.0,0.00177403844693,0.669290573372,"(39.888769092542674, 116.36776084407973)",9.63651279559,1141,2.70223517979,1.32099125364
9,8180784,571463.0,0.0019444364955,0.692031098154,"(39.904941599281223, 116.42051582649474)",10.5621088435,1480,2.95685131195,1.4648202138
10,9062405,480707.0,0.00208777304526,0.712244897959,"(39.896406109613658, 116.31500586166472)",11.3407078069,1349,3.19825072886,1.59591836735
11,6795035,605200.0,0.00226823074592,0.72944606414,"(40.077897574123988, 116.58640093786636)",12.3209475219,1363,3.43275024295,1.72837706511
12,8802907,412802.0,0.0023913194765,0.745578231293,"(39.939532794249772, 116.34607268464245)",12.9895610625,1162,3.65335276968,1.84130223518
13,8185723,315583.0,0.00248541957985,0.759183673469,"(39.92336028751123, 116.41992966002346)",13.5007094266,1215,3.85655976676,1.95937803693
14,8180782,700599.0,0.00269432322266,0.771137026239,"(39.904043126684634, 116.42051582649474)",14.6354664723,1728,4.22196307094,2.12730806608
15,8078004,386001.0,0.00280942046806,0.78231292517,"(39.939982030548066, 116.43282532239157)",15.2606705539,1298,4.43819241983,2.25344995141
16,8528505,332153.0,0.00290846139114,0.792808551992,"(39.888319856244387, 116.37889800703401)",15.7986572724,1196,4.65655976676,2.36967930029
17,7989586,1609159.0,0.00338827820069,0.802623906706,"(39.82587601078167, 116.44337631887457)",18.4050048591,656,5.19387755102,2.43343051506
18,9072199,466792.0,0.00352746559495,0.81195335277,"(39.895507637017069, 116.31383352872216)",19.1610657596,1288,5.44839650146,2.55860058309
19,6829325,520148.0,0.00368256260765,0.820602526725,"(40.079694519317158, 116.58229777256741)",20.0035471331,1283,5.70106899903,2.68328474247
20,8621591,339429.0,0.00378377307837,0.828571428571,"(39.89910152740341, 116.36776084407973)",20.5533187561,1082,5.88775510204,2.78843537415
21,7891773,322961.0,0.00388007314357,0.835762876579,"(39.891913746630728, 116.45509964830012)",21.0764172336,1072,6.04995140914,2.89261418853
22,9096866,231885.0,0.00394921629281,0.841788143829,"(39.975022461814916, 116.31090269636577)",21.4520003239,808,6.18134110787,2.97113702624
23,8641291,283074.0,0.00403362290741,0.84732750243,"(39.94761904761905, 116.36541617819461)",21.9104940071,1076,6.33683187561,3.07570456754
24,8249326,306285.0,0.00412495054596,0.85267249757,"(39.891464510332433, 116.41230949589684)",22.4065824425,1095,6.51418853256,3.18211856171
25,9150595,454876.0,0.00426058484379,0.857531584062,"(39.90808625336927, 116.30445486518171)",23.1433430515,932,6.7768707483,3.27269193392
26,6995836,288221.0,0.00434652618375,0.862001943635,"(40.070260557053011, 116.56236811254396)",23.6101733074,860,6.91710398445,3.35626822157
27,8205459,296348.0,0.00443489082135,0.866180758017,"(39.988050314465404, 116.41758499413834)",24.0901668286,970,7.06511175899,3.45053449951
28,8778409,284613.0,0.00451975633284,0.869970845481,"(39.93593890386343, 116.34900351699883)",24.5511532232,773,7.21486880466,3.52565597668
29,7891841,297028.0,0.00460832373191,0.873275024295,"(39.922461814914641, 116.45509964830012)",25.0322481374,1038,7.36103012634,3.62653061224
30,8641292,364893.0,0.004717127023,0.87657920311,"(39.948068283917337, 116.36541617819461)",25.6232636864,1121,7.53722060253,3.73547133139
31,9062406,321077.0,0.00481286531969,0.879786200194,"(39.896855345911945, 116.31500586166472)",26.1433106576,964,7.68056365403,3.82915451895
32,9160391,239348.0,0.00488423377596,0.882798833819,"(39.90808625336927, 116.30328253223917)",26.5309815355,737,7.82176870748,3.90077745384
33,8175883,1866816.0,0.00544087839414,0.885519922255,"(39.90359389038634, 116.421101992966)",29.5546550049,1196,8.73440233236,4.01700680272
34,8254393,207867.0,0.00550285988929,0.88804664723,"(39.967385444743933, 116.41172332942556)",29.8913362488,709,8.84839650146,4.08590864917
35,9106464,248039.0,0.00557681981595,0.890476190476,"(39.886073674752922, 116.30973036342321)",30.2930839002,800,8.99766763848,4.16365403304
36,8508841,147267.0,0.00562073168674,0.892808551992,"(39.855974842767296, 116.38124267291911)",30.531611597,523,9.07823129252,4.21448007775
37,7984926,302937.0,0.00571106102327,0.894946550049,"(39.932794249775384, 116.44396248534585)",31.0222772919,1084,9.25481049563,4.31982507289
38,9072198,494592.0,0.00585853778316,0.896987366375,"(39.895058400718774, 116.31383352872216)",31.8233657272,1092,9.4443148688,4.42594752187
39,6848910,461894.0,0.00599626469854,0.898931000972,"(40.076549865229111, 116.5799531066823)",32.5714933592,1210,9.73265306122,4.54353741497
40,8768558,238474.0,0.0060673725467,0.900874635569,"(39.911230907457323, 116.35017584994139)",32.9577486233,779,9.85986394558,4.61924198251
